flag provided but not defined: -addr
Usage of C:\Users\Fwind43\Desktop\code\GenericAgent-Admin-Go\GenericAgent-Admin-Go.exe:
  -headless
    	run without browser, tray, or desktop pet; intended for Linux servers
  -no-browser
    	do not open the web UI automatically
  -port int
    	override HTTP listen port for this launch (1-65535)
  -server-only
    	alias for --headless

--- restart with -port 8799 ---
2026/06/25 10:46:22 desktop pet action=running ticks=18 loop=true
2026/06/25 10:46:39 desktop pet action=review ticks=18 loop=true
2026/06/25 10:46:56 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:47:13 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:47:28 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:47:43 desktop pet action=running ticks=18 loop=true
2026/06/25 10:47:58 desktop pet action=review ticks=18 loop=true
2026/06/25 10:48:14 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:48:29 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:48:45 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:49:01 desktop pet action=running ticks=18 loop=true
2026/06/25 10:49:18 desktop pet action=review ticks=18 loop=true
2026/06/25 10:49:35 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:49:52 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:50:06 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:50:21 desktop pet action=running ticks=18 loop=true
2026/06/25 10:50:36 desktop pet action=review ticks=18 loop=true
2026/06/25 10:50:52 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:51:07 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:51:23 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:51:39 desktop pet action=running ticks=18 loop=true
2026/06/25 10:51:56 desktop pet action=review ticks=18 loop=true
2026/06/25 10:52:12 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:52:29 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:52:46 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:53:01 desktop pet action=running ticks=18 loop=true
2026/06/25 10:53:16 desktop pet action=review ticks=18 loop=true
2026/06/25 10:53:31 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:53:46 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:54:02 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:54:18 desktop pet action=running ticks=18 loop=true
2026/06/25 10:54:35 desktop pet action=review ticks=18 loop=true
2026/06/25 10:54:51 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:55:08 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:55:25 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:55:39 desktop pet action=running ticks=18 loop=true
2026/06/25 10:55:54 desktop pet action=review ticks=18 loop=true
2026/06/25 10:56:10 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:56:24 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:56:40 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:56:56 desktop pet action=running ticks=18 loop=true
2026/06/25 10:57:12 desktop pet action=review ticks=18 loop=true
2026/06/25 10:57:29 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:57:45 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:58:02 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:58:20 desktop pet action=running ticks=18 loop=true
2026/06/25 10:58:34 desktop pet action=review ticks=18 loop=true
2026/06/25 10:58:49 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:59:04 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:59:19 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:59:35 desktop pet action=running ticks=18 loop=true
2026/06/25 10:59:51 desktop pet action=review ticks=18 loop=true
